País,Religión Predominante,Influencia Cultural,Nivel Económico (PIB per cápita),Legalidad de la Homosexualidad,Matrimonio Igualitario,Protección contra Discriminación,Índice de Felicidad,PIB per cápita,Índice de Desarrollo,Índice de Desarrollo Humano (IDH),Observaciones Culturales y Sociales
Kazajistán,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,5,25000,0.75,0.8,Información cultural y social relevante para cada país.
Kosovo,Cristianismo,Occidental Progresista,20000,Legal,No,No,6,28000,0.8,0.84,Información cultural y social relevante para cada país.
Letonia,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,7,31000,0.85,0.88,Información cultural y social relevante para cada país.
Liechtenstein,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,8,34000,0.9,0.92,Información cultural y social relevante para cada país.
Lituania,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,9,37000,0.95,0.96,Información cultural y social relevante para cada país.
Luxemburgo,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,5,10000,0.5,0.6,Información cultural y social relevante para cada país.
Macedonia del Norte,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,6,13000,0.55,0.64,Información cultural y social relevante para cada país.
Malta,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,7,16000,0.6,0.68,Información cultural y social relevante para cada país.
Moldavia,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,8,19000,0.65,0.72,Información cultural y social relevante para cada país.
Mónaco,Cristianismo,Occidental Progresista,15000,Legal,No,No,9,22000,0.7,0.76,Información cultural y social relevante para cada país.
Montenegro,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,5,25000,0.75,0.8,Información cultural y social relevante para cada país.
Noruega,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,6,28000,0.8,0.84,Información cultural y social relevante para cada país.
Países Bajos,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,7,31000,0.85,0.88,Información cultural y social relevante para cada país.
Polonia,Cristianismo,Occidental Progresista,20000,Legal,No,No,8,34000,0.9,0.92,Información cultural y social relevante para cada país.
Portugal,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,9,37000,0.95,0.96,Información cultural y social relevante para cada país.
Reino Unido,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,5,10000,0.5,0.6,Información cultural y social relevante para cada país.
República Checa,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,6,13000,0.55,0.64,Información cultural y social relevante para cada país.
Rumania,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,7,16000,0.6,0.68,Información cultural y social relevante para cada país.
Rusia,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,8,19000,0.65,0.72,Información cultural y social relevante para cada país.
San Marino,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,9,22000,0.7,0.76,Información cultural y social relevante para cada país.
Serbia,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,5,25000,0.75,0.8,Información cultural y social relevante para cada país.
Suecia,Cristianismo,Occidental Progresista,15000,Legal,No,No,6,28000,0.8,0.84,Información cultural y social relevante para cada país.
Suiza,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,7,31000,0.85,0.88,Información cultural y social relevante para cada país.
Turquía,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,8,34000,0.9,0.92,Información cultural y social relevante para cada país.
Ucrania,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,9,37000,0.95,0.96,Información cultural y social relevante para cada país.
Ciudad del Vaticano,Cristianismo,Occidental Progresista,20000,Legal,No,No,5,10000,0.5,0.6,Información cultural y social relevante para cada país.
