País,Religión Predominante,Influencia Cultural,Nivel Económico (PIB per cápita),Legalidad de la Homosexualidad,Matrimonio Igualitario,Protección contra Discriminación,Índice de Felicidad,PIB per cápita,Índice de Desarrollo,Índice de Desarrollo Humano (IDH),Observaciones Culturales y Sociales
Egipto,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,8,19000,0.65,0.72,Información cultural y social relevante para cada país.
Eritrea,Cristianismo,Occidental Progresista,20000,Legal,No,No,9,22000,0.7,0.76,Información cultural y social relevante para cada país.
Etiopía,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,5,25000,0.75,0.8,Información cultural y social relevante para cada país.
Gabón,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,6,28000,0.8,0.84,Información cultural y social relevante para cada país.
Gambia,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,7,31000,0.85,0.88,Información cultural y social relevante para cada país.
Ghana,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,8,34000,0.9,0.92,Información cultural y social relevante para cada país.
Guinea,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,9,37000,0.95,0.96,Información cultural y social relevante para cada país.
Guinea Ecuatorial,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,5,10000,0.5,0.6,Información cultural y social relevante para cada país.
Guinea-Bisáu,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,6,13000,0.55,0.64,Información cultural y social relevante para cada país.
Kenia,Cristianismo,Occidental Progresista,15000,Legal,No,No,7,16000,0.6,0.68,Información cultural y social relevante para cada país.
Lesoto,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,8,19000,0.65,0.72,Información cultural y social relevante para cada país.
Liberia,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,9,22000,0.7,0.76,Información cultural y social relevante para cada país.
Libia,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,5,25000,0.75,0.8,Información cultural y social relevante para cada país.
Madagascar,Cristianismo,Occidental Progresista,20000,Legal,No,No,6,28000,0.8,0.84,Información cultural y social relevante para cada país.
Malaui,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,7,31000,0.85,0.88,Información cultural y social relevante para cada país.
Malí,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,8,34000,0.9,0.92,Información cultural y social relevante para cada país.
Marruecos,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,9,37000,0.95,0.96,Información cultural y social relevante para cada país.
Mauricio,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,5,10000,0.5,0.6,Información cultural y social relevante para cada país.
Mauritania,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,6,13000,0.55,0.64,Información cultural y social relevante para cada país.
Mozambique,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,7,16000,0.6,0.68,Información cultural y social relevante para cada país.
Namibia,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,8,19000,0.65,0.72,Información cultural y social relevante para cada país.
Níger,Cristianismo,Occidental Progresista,15000,Legal,No,No,9,22000,0.7,0.76,Información cultural y social relevante para cada país.
Nigeria,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,5,25000,0.75,0.8,Información cultural y social relevante para cada país.
República Centroafricana,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,6,28000,0.8,0.84,Información cultural y social relevante para cada país.
Ruanda,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,7,31000,0.85,0.88,Información cultural y social relevante para cada país.
Santo Tomé y Príncipe,Cristianismo,Occidental Progresista,20000,Legal,No,No,8,34000,0.9,0.92,Información cultural y social relevante para cada país.
Senegal,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,9,37000,0.95,0.96,Información cultural y social relevante para cada país.
Seychelles,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,5,10000,0.5,0.6,Información cultural y social relevante para cada país.
Sierra Leona,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,6,13000,0.55,0.64,Información cultural y social relevante para cada país.
Somalia,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,7,16000,0.6,0.68,Información cultural y social relevante para cada país.
Sudáfrica,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,8,19000,0.65,0.72,Información cultural y social relevante para cada país.
Sudán,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,9,22000,0.7,0.76,Información cultural y social relevante para cada país.
Sudán del Sur,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,5,25000,0.75,0.8,Información cultural y social relevante para cada país.
Esuatini,Cristianismo,Occidental Progresista,15000,Legal,No,No,6,28000,0.8,0.84,Información cultural y social relevante para cada país.
Tanzania,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,7,31000,0.85,0.88,Información cultural y social relevante para cada país.
Togo,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,8,34000,0.9,0.92,Información cultural y social relevante para cada país.
Túnez,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,9,37000,0.95,0.96,Información cultural y social relevante para cada país.
Uganda,Cristianismo,Occidental Progresista,20000,Legal,No,No,5,10000,0.5,0.6,Información cultural y social relevante para cada país.
Yibuti,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,6,13000,0.55,0.64,Información cultural y social relevante para cada país.
Zambia,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,7,16000,0.6,0.68,Información cultural y social relevante para cada país.
Zimbabue,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,8,19000,0.65,0.72,Información cultural y social relevante para cada país.
