,país,religión predominante,influencia cultural,nivel económico (pib per cápita),legalidad de la homosexualidad,matrimonio igualitario,protección contra discriminación,índice de felicidad,pib per cápita,índice de desarrollo,índice de desarrollo humano (idh),continente
25,República Democrática del Congo,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,6,13000,0.55,0.64,Africa
26,Costa de Marfil,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,7,16000,0.6,0.68,Africa
27,Egipto,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,8,19000,0.65,0.72,Africa
28,Eritrea,Cristianismo,Occidental Progresista,20000,Legal,No,No,9,22000,0.7,0.76,Africa
29,Etiopía,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,5,25000,0.75,0.8,Africa
30,Gabón,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,6,28000,0.8,0.84,Africa
31,Gambia,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,7,31000,0.85,0.88,Africa
32,Ghana,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,8,34000,0.9,0.92,Africa
33,Guinea,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,9,37000,0.95,0.96,Africa
34,Guinea Ecuatorial,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,5,10000,0.5,0.6,Africa
35,Guinea-Bisáu,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,6,13000,0.55,0.64,Africa
36,Kenia,Cristianismo,Occidental Progresista,15000,Legal,No,No,7,16000,0.6,0.68,Africa
37,Lesoto,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,8,19000,0.65,0.72,Africa
38,Liberia,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,9,22000,0.7,0.76,Africa
39,Libia,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,5,25000,0.75,0.8,Africa
40,Madagascar,Cristianismo,Occidental Progresista,20000,Legal,No,No,6,28000,0.8,0.84,Africa
41,Malaui,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,7,31000,0.85,0.88,Africa
42,Malí,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,8,34000,0.9,0.92,Africa
43,Marruecos,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,9,37000,0.95,0.96,Africa
44,Mauricio,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,5,10000,0.5,0.6,Africa
45,Mauritania,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,6,13000,0.55,0.64,Africa
46,Mozambique,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,7,16000,0.6,0.68,Africa
47,Namibia,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,8,19000,0.65,0.72,Africa
48,Níger,Cristianismo,Occidental Progresista,15000,Legal,No,No,9,22000,0.7,0.76,Africa
49,Nigeria,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,5,25000,0.75,0.8,Africa
50,República Centroafricana,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,6,28000,0.8,0.84,Africa
51,Ruanda,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,7,31000,0.85,0.88,Africa
52,Santo Tomé y Príncipe,Cristianismo,Occidental Progresista,20000,Legal,No,No,8,34000,0.9,0.92,Africa
53,Senegal,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,9,37000,0.95,0.96,Africa
54,Seychelles,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,5,10000,0.5,0.6,Africa
55,Sierra Leona,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,6,13000,0.55,0.64,Africa
56,Somalia,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,7,16000,0.6,0.68,Africa
57,Sudáfrica,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,8,19000,0.65,0.72,Africa
58,Sudán,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,9,22000,0.7,0.76,Africa
59,Sudán del Sur,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,5,25000,0.75,0.8,Africa
60,Esuatini,Cristianismo,Occidental Progresista,15000,Legal,No,No,6,28000,0.8,0.84,Africa
61,Tanzania,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,7,31000,0.85,0.88,Africa
62,Togo,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,8,34000,0.9,0.92,Africa
63,Túnez,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,9,37000,0.95,0.96,Africa
64,Uganda,Cristianismo,Occidental Progresista,20000,Legal,No,No,5,10000,0.5,0.6,Africa
65,Yibuti,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,6,13000,0.55,0.64,Africa
66,Zambia,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,7,16000,0.6,0.68,Africa
67,Zimbabue,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,8,19000,0.65,0.72,Africa
68,Antigua y Barbuda,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,5,10000,0.5,0.6,America
69,Argentina,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,6,13000,0.55,0.64,America
70,Bahamas,Cristianismo,Occidental Progresista,20000,Legal,No,No,7,16000,0.6,0.68,America
71,Barbados,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,8,19000,0.65,0.72,America
72,Belice,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,9,22000,0.7,0.76,America
73,Bolivia,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,5,25000,0.75,0.8,America
74,Brasil,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,6,28000,0.8,0.84,America
75,Canadá,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,7,31000,0.85,0.88,America
76,Chile,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,8,34000,0.9,0.92,America
77,Colombia,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,9,37000,0.95,0.96,America
78,Costa Rica,Cristianismo,Occidental Progresista,15000,Legal,No,No,5,10000,0.5,0.6,America
79,Cuba,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,6,13000,0.55,0.64,America
80,Dominica,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,7,16000,0.6,0.68,America
81,Ecuador,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,8,19000,0.65,0.72,America
82,El Salvador,Cristianismo,Occidental Progresista,20000,Legal,No,No,9,22000,0.7,0.76,America
83,Estados Unidos,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,5,25000,0.75,0.8,America
84,Granada,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,6,28000,0.8,0.84,America
85,Guatemala,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,7,31000,0.85,0.88,America
86,Guyana,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,8,34000,0.9,0.92,America
87,Haití,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,9,37000,0.95,0.96,America
88,Honduras,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,5,10000,0.5,0.6,America
89,Jamaica,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,6,13000,0.55,0.64,America
90,México,Cristianismo,Occidental Progresista,15000,Legal,No,No,7,16000,0.6,0.68,America
91,Nicaragua,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,8,19000,0.65,0.72,America
92,Panamá,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,9,22000,0.7,0.76,America
93,Paraguay,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,5,25000,0.75,0.8,America
94,Perú,Cristianismo,Occidental Progresista,20000,Legal,No,No,6,28000,0.8,0.84,America
95,República Dominicana,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,7,31000,0.85,0.88,America
96,San Cristóbal y Nieves,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,8,34000,0.9,0.92,America
97,San Vicente y las Granadinas,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,9,37000,0.95,0.96,America
98,Santa Lucía,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,5,10000,0.5,0.6,America
99,Surinam,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,6,13000,0.55,0.64,America
100,Trinidad y Tobago,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,7,16000,0.6,0.68,America
101,Uruguay,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,8,19000,0.65,0.72,America
102,Venezuela,Cristianismo,Occidental Progresista,15000,Legal,No,No,9,22000,0.7,0.76,America
103,Afganistán,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,5,10000,0.5,0.6,Asia
104,Arabia Saudita,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,6,13000,0.55,0.64,Asia
105,Armenia,Cristianismo,Occidental Progresista,20000,Legal,No,No,7,16000,0.6,0.68,Asia
106,Azerbaiyán,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,8,19000,0.65,0.72,Asia
107,Bangladés,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,9,22000,0.7,0.76,Asia
108,Baréin,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,5,25000,0.75,0.8,Asia
109,Birmania,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,6,28000,0.8,0.84,Asia
110,Brunéi,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,7,31000,0.85,0.88,Asia
111,Bután,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,8,34000,0.9,0.92,Asia
112,Camboya,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,9,37000,0.95,0.96,Asia
113,Catar,Cristianismo,Occidental Progresista,15000,Legal,No,No,5,10000,0.5,0.6,Asia
114,China,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,6,13000,0.55,0.64,Asia
115,Chipre,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,7,16000,0.6,0.68,Asia
116,Corea del Norte,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,8,19000,0.65,0.72,Asia
117,Corea del Sur,Cristianismo,Occidental Progresista,20000,Legal,No,No,9,22000,0.7,0.76,Asia
118,Emiratos Árabes Unidos,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,5,25000,0.75,0.8,Asia
119,Filipinas,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,6,28000,0.8,0.84,Asia
120,Georgia,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,7,31000,0.85,0.88,Asia
121,India,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,8,34000,0.9,0.92,Asia
122,Indonesia,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,9,37000,0.95,0.96,Asia
123,Irak,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,5,10000,0.5,0.6,Asia
124,Irán,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,6,13000,0.55,0.64,Asia
125,Israel,Cristianismo,Occidental Progresista,15000,Legal,No,No,7,16000,0.6,0.68,Asia
126,Japón,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,8,19000,0.65,0.72,Asia
127,Jordania,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,9,22000,0.7,0.76,Asia
128,Kazajistán,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,5,25000,0.75,0.8,Asia
129,Kirguistán,Cristianismo,Occidental Progresista,20000,Legal,No,No,6,28000,0.8,0.84,Asia
130,Kuwait,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,7,31000,0.85,0.88,Asia
131,Laos,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,8,34000,0.9,0.92,Asia
132,Líbano,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,9,37000,0.95,0.96,Asia
133,Malasia,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,5,10000,0.5,0.6,Asia
134,Maldivas,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,6,13000,0.55,0.64,Asia
135,Mongolia,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,7,16000,0.6,0.68,Asia
136,Nepal,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,8,19000,0.65,0.72,Asia
137,Omán,Cristianismo,Occidental Progresista,15000,Legal,No,No,9,22000,0.7,0.76,Asia
138,Pakistán,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,5,25000,0.75,0.8,Asia
139,Palestina,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,6,28000,0.8,0.84,Asia
140,Rusia,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,7,31000,0.85,0.88,Asia
141,Singapur,Cristianismo,Occidental Progresista,20000,Legal,No,No,8,34000,0.9,0.92,Asia
142,Siria,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,9,37000,0.95,0.96,Asia
143,Sri Lanka,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,5,10000,0.5,0.6,Asia
144,Tailandia,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,6,13000,0.55,0.64,Asia
145,Tayikistán,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,7,16000,0.6,0.68,Asia
146,Turkmenistán,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,8,19000,0.65,0.72,Asia
147,Turquía,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,9,22000,0.7,0.76,Asia
148,Uzbekistán,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,5,25000,0.75,0.8,Asia
149,Vietnam,Cristianismo,Occidental Progresista,15000,Legal,No,No,6,28000,0.8,0.84,Asia
150,Yemen,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,7,31000,0.85,0.88,Asia
151,Albania,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,5,10000,0.5,0.6,Europa
152,Alemania,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,6,13000,0.55,0.64,Europa
153,Andorra,Cristianismo,Occidental Progresista,20000,Legal,No,No,7,16000,0.6,0.68,Europa
154,Armenia,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,8,19000,0.65,0.72,Europa
155,Austria,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,9,22000,0.7,0.76,Europa
156,Azerbaiyán,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,5,25000,0.75,0.8,Europa
157,Bélgica,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,6,28000,0.8,0.84,Europa
158,Bielorrusia,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,7,31000,0.85,0.88,Europa
159,Bosnia y Herzegovina,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,8,34000,0.9,0.92,Europa
160,Bulgaria,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,9,37000,0.95,0.96,Europa
161,Chipre,Cristianismo,Occidental Progresista,15000,Legal,No,No,5,10000,0.5,0.6,Europa
162,Croacia,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,6,13000,0.55,0.64,Europa
163,Dinamarca,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,7,16000,0.6,0.68,Europa
164,Eslovaquia,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,8,19000,0.65,0.72,Europa
165,Eslovenia,Cristianismo,Occidental Progresista,20000,Legal,No,No,9,22000,0.7,0.76,Europa
166,España,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,5,25000,0.75,0.8,Europa
167,Estonia,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,6,28000,0.8,0.84,Europa
168,Finlandia,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,7,31000,0.85,0.88,Europa
169,Francia,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,8,34000,0.9,0.92,Europa
170,Georgia,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,9,37000,0.95,0.96,Europa
171,Grecia,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,5,10000,0.5,0.6,Europa
172,Hungría,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,6,13000,0.55,0.64,Europa
173,Irlanda,Cristianismo,Occidental Progresista,15000,Legal,No,No,7,16000,0.6,0.68,Europa
174,Islandia,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,8,19000,0.65,0.72,Europa
175,Italia,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,9,22000,0.7,0.76,Europa
176,Kazajistán,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,5,25000,0.75,0.8,Europa
177,Kosovo,Cristianismo,Occidental Progresista,20000,Legal,No,No,6,28000,0.8,0.84,Europa
178,Letonia,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,7,31000,0.85,0.88,Europa
179,Liechtenstein,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,8,34000,0.9,0.92,Europa
180,Lituania,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,9,37000,0.95,0.96,Europa
181,Luxemburgo,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,5,10000,0.5,0.6,Europa
182,Macedonia del Norte,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,6,13000,0.55,0.64,Europa
183,Malta,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,7,16000,0.6,0.68,Europa
184,Moldavia,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,8,19000,0.65,0.72,Europa
185,Mónaco,Cristianismo,Occidental Progresista,15000,Legal,No,No,9,22000,0.7,0.76,Europa
186,Montenegro,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,5,25000,0.75,0.8,Europa
187,Noruega,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,6,28000,0.8,0.84,Europa
188,Países Bajos,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,7,31000,0.85,0.88,Europa
189,Polonia,Cristianismo,Occidental Progresista,20000,Legal,No,No,8,34000,0.9,0.92,Europa
190,Portugal,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,9,37000,0.95,0.96,Europa
191,Reino Unido,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,5,10000,0.5,0.6,Europa
192,República Checa,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,6,13000,0.55,0.64,Europa
193,Rumania,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,7,16000,0.6,0.68,Europa
194,Rusia,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,8,19000,0.65,0.72,Europa
195,San Marino,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,9,22000,0.7,0.76,Europa
196,Serbia,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,5,25000,0.75,0.8,Europa
197,Suecia,Cristianismo,Occidental Progresista,15000,Legal,No,No,6,28000,0.8,0.84,Europa
198,Suiza,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,7,31000,0.85,0.88,Europa
199,Turquía,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,8,34000,0.9,0.92,Europa
200,Ucrania,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,9,37000,0.95,0.96,Europa
201,Ciudad del Vaticano,Cristianismo,Occidental Progresista,20000,Legal,No,No,5,10000,0.5,0.6,Europa
